dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
16/04/2010 00:00,EAMBFVWH02255112,Stocks,YSSR21,RDBE21,6558000.0,USD,6000,05/06/2014,1093.0,VND,28.97
16/04/2010 00:00,PWANAZLM00855742,Millennium Rings,QLCE04,NCYN50,56279.99999999999,USD,800,18/01/2013,70.35,USD,13.75
16/04/2010 00:00,VTUHPLRP43011620,Stocks,QMZU33,RFZG50,15939000.000000002,USD,90000,06/01/2015,177.10000000000002,USD,38.0
16/04/2010 00:00,GWFHBFBB61424239,Spider Silks,CAVR55,VTKE88,170325.0,USD,900,21/03/2013,189.25,USD,199.62
16/04/2010 00:00,MYPIXEOR77778480,Stocks,PQSW96,EWUY22,69609000.0,MDL,60000,22/06/2013,1160.15,USD,1631.33
16/04/2010 00:01,WIDTNKPH20283655,Stbcks,CVMG22,JCWS17,92630.0,USD,100,15/05/2015,926.3,USD,193.24
16/04/2010 00:01,BLLDMLCP31988119,Stocks,TKVF94,UFAY49,168810.0,NPR,300,28/11/2012,562.7,USD,151.96
16/04/2010 00:01,VFDTSDJT05819018,Stocks,FGVK43,MHFC34,33673410.32,QAR,80000,06/06/2012,136.03,USD,456.04
16/04/2010 00:01,RFDUBXLQ32506676,Stbcks,EIWJ22,GZED20,349020.0,USD,2000,14/06/2012,174.51,USD,145.74
16/04/2010 00:02,JOTPZTLQ11536485,Stocks,SWGF93,YWMD69,188456.0,USD,800,24/12/2014,235.57,USD,253.81
16/04/2010 00:02,ZKAZQLGM66738348,Kicking Boots,YSSR21,SHXQ48,465704.99999999994,USD,900,02/05/2013,517.4499999999999,USD,96.73
16/04/2010 00:02,EEAQWDRI84503181,L-biruses,ERHJ34,MHFC34,473140.0,USD,2000,10/11/2014,236.57,USD,268.29
16/04/2010 00:02,BICPOQAD33502007,Stocks,EKXA28,ZEHM52,320498.89,GEL,500,01/06/2012,132.58,USD,750.6
16/04/2010 00:02,XRTQEKNN58541017,Stocks,HPTP65,JXGF27,4340000.0,USD,7000,05/02/2013,620.0,USD,143.07
16/04/2010 00:02,PTJBBXNI24508396,Flame Orbs,CBOX52,BDBU66,59446548.21,MYR,7000,30/06/2015,177.49,USD,9133.06
16/04/2010 00:02,KOMUBXRR53158933,Arc Reactors,FGVK43,DOGG07,2893281.42,ILS,900,13/12/2012,349.7,USD,3687.53
16/04/2010 00:02,GXDJCAEJ35381416,Stocks,HHOA99,HHFP66,623490.0,ALL,700,28/11/2012,890.6999999999999,USD,308.93
16/04/2010 00:03,NJCLXEWK35100050,Stocks,BPLN25,FYYD97,2203200.0,USD,4000,23/06/2013,550.8,USD,118.05
16/04/2010 00:03,GNPBKJJY45525270,Stocks,MHFC38,OKYS91,3254.0,USD,200,22/02/2013,33.57,LSL,17.19
16/04/2010 00:03,UZLKKMLP45038037,Gargantua Space Stations,HWHS56,FYYD57,40120.0,USD,4000,19/02/2014,10.03,USD,10.78
16/04/2010 00:03,AGUYFPQG88948600,Gabgantua Space Stations,AMRO44,FYYD57,70210.0,USD,7000,21/05/2013,10.03,USD,11.16
16/04/2010 00:04,XYFFETLY17988370,Stocks,CAVR54,VTKE28,3952963.08,IQD,4000,26/01/2014,99.61,USD,822.09
16/04/2010 00:04,YRYTWALL74883005,Blue Shells,RFZG50,QBAP68,13937700.000000002,USD,7000,24/09/2013,1991.1000000000001,USD,364.43
16/04/2010 00:04,NHIIRQBW87788513,Stocks,OPET16,MFJJ99,5938100.0,USD,70000,16/03/2012,84.83,USD,70.37
16/04/2010 00:04,LTHQWHQT32070692,Stocks,VIMV39,UEVD22,865215.0,TZS,900,09/12/2013,961.35,USD,2051.72
16/04/2010 00:04,QXOMMHTE31827795,Air Balloons,RQGG65,ITTS16,22426.65,XPF,2000,03/05/2015,27.45,USD,12.66
16/04/2010 00:05,WCNZGZOI30569353,Stbcks,BMRZ75,RQGG35,31390.55,SLL,200,03/09/2012,42.27,USD,187.65
16/04/2010 00:05,QIFUWUXL75791070,Gauntlets of Zeus,VLJL11,FDWI34,451800.0,USD,800,16/06/2013,564.75,USD,92.09
16/04/2010 00:05,LPJBGEYJ40632116,Stbcks,CAVR54,RFZG50,24130016.68,CVE,70000,26/02/2013,35.42,USD,304.31
16/04/2010 00:05,HQHJTCKZ86206815,I-Suits,SRYE59,BBJG05,2694000.0,USD,8000,09/03/2012,336.75,USD,308.7
16/04/2010 00:06,DKJQTSUS51689093,Vibyas,SBUT66,IIZF28,10826699.999999998,USD,6000,08/12/2013,1804.4499999999998,USD,329.17
16/04/2010 00:06,GQASJNMS21127882,Stocks,ZVEN23,OPZI56,112680.0,USD,3000,14/03/2014,257.35,ZMK,35.05
16/04/2010 00:06,SEDIBROP66096464,Stocks,TBVE46,KUWI70,1414.0,USD,200,05/05/2014,7.07,USD,6.03
16/04/2010 00:06,SNWMSPBK25837390,PROBLEMs,PKBF73,CMZC97,14825700.0,USD,9000,25/07/2013,1647.3,USD,379.71
16/04/2010 00:06,FFLGLUXN39336416,Stocks,CIXF70,FGVK73,28520.0,USD,400,21/05/2012,71.3,USD,75.2
16/04/2010 00:06,ZGMDWAIX05754869,Stbcks,ZELV91,IIZF28,3452050.0,SDG,7000,07/06/2013,493.15,USD,686.69
16/04/2010 00:06,PWMZWEDW19094574,Jumping Boots,GIWG36,SFEO61,286920.0,SGD,400,17/12/2014,717.3000000000001,USD,569.68
16/04/2010 00:07,MBKDZBIK05547559,Samehadas,TYAE14,ZMLP81,57076.0,USD,200,23/08/2013,285.38,USD,311.62
16/04/2010 00:07,HUTMFJIY00341444,Stocks,BDBU44,HXDA52,389730.0,USD,300,15/02/2013,1299.1,USD,227.13
16/04/2010 00:07,IOGFVLOX88479685,Stocks,DILF19,TRFG71,331.34,JPY,2000,06/08/2012,3.12,USD,0.19
