dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
01/04/2019 00:00,XCSEGPUU91311925,Stbcks,AMBT77,GZED10,90055.0,RWF,100,01/05/2022,900.5500000000001,USD,927.88
01/04/2019 00:00,PEICINZM41704581,Shed Shells,AGBH66,DBCS17,4322.0,USD,100,18/11/2020,43.22,USD,39.38
01/04/2019 00:00,YNHMMPUY82934747,CodeBots,WIZJ73,ZBIO25,28089.999999999996,USD,200,06/10/2023,140.45,USD,26.46
01/04/2019 00:01,YBQXTOKZ22490670,Tonsil Stones,EIWJ22,LAUA30,327560.0,USD,400,11/06/2022,818.9,USD,153.74
01/04/2019 00:01,ISLITJDQ67290757,Stocks,ZVEN26,JZTC69,4884250.0,FKP,7000,02/07/2024,697.75,USD,660.09
01/04/2019 00:02,SXNNGTCM50934174,Grbssy Seeds,BBJG05,XHYN77,7595.0,USD,500,29/10/2020,15.19,USD,15.86
01/04/2019 00:02,PYSZDJKA19832730,Rings of Teleport Control,HXDA58,VGYT30,589643.44,LRD,200,16/12/2023,588.49,USD,3334.54
01/04/2019 00:02,OGEARAUT63631975,Stbcks,ERHJ34,SUOX82,185800.0,USD,400,08/06/2021,464.5,USD,85.86
01/04/2019 00:02,KBTUUYAJ13861955,Clbaks of Displacement,DILF12,NXTO29,399799.99999999994,USD,1000,11/01/2020,399.79999999999995,USD,63.02
01/04/2019 00:03,VVJTWAFD31125741,Mrb Zerkons,IIZF28,IZTD45,307360.00000000006,USD,800,12/11/2022,384.20000000000005,USD,78.76
01/04/2019 00:04,ZZHGIBHX02026464,Pabantiris,YLGZ73,GIWG84,438832.0,USD,800,06/01/2024,548.54,USD,595.16
01/04/2019 00:05,KXKMTJLD23266380,Stbcks,DBCS19,FTFI17,526293.0,USD,900,24/08/2022,584.77,USD,650.03
01/04/2019 00:05,DQCQDVPK03183099,Stbcks,TVQQ54,FJOI82,181108483.4,VUV,40000,23/12/2024,138.97,USD,4036.24
01/04/2019 00:06,GFAUYUIC98799056,Stocks,MFZY78,SZRJ90,79511.12,ISK,200,16/08/2024,198.49,USD,442.51
01/04/2019 00:06,WNJPNVLI15160627,Stocks,UACN81,FGVK73,153274.28,PKR,800,09/11/2024,15.82,USD,178.96
01/04/2019 00:07,EGPCALCC50934412,Amulets Versus Poison,RFZG51,PJKH25,516666.29,XOF,900,14/01/2023,112.01,USD,582.73
01/04/2019 00:07,EBHDLPER11069284,Millennium Rods,ZVEN26,TYAE14,50242500.0,USD,30000,04/02/2024,1674.75,USD,289.12
01/04/2019 00:07,ISVSNLEJ95251581,Argonaughts,QCRG51,GYWU63,172063500.0,USD,70000,26/12/2020,2458.05,USD,549.71
01/04/2019 00:07,WNCVPTBE70239745,LibAR Mark-Trackers,YWMD67,RNZB01,285120.0,USD,400,17/09/2024,712.8,USD,170.13
01/04/2019 00:07,MHMFLZDH62196357,Stocks,AMBT33,RFZG10,227940.00000000003,USD,600,07/09/2024,379.90000000000003,USD,84.34
01/04/2019 00:08,JOTZLUKG63878498,Stocks,UFAY52,RJCA62,172110.0,SLL,100,18/07/2023,1721.1000000000001,LBP,79.47
01/04/2019 00:08,NLOJZMJY59328840,Stocks,OPZI26,XRBV31,107261999.99999999,USD,40000,29/12/2022,2681.5499999999997,USD,525.82
01/04/2019 00:09,KPXUNMIK74604157,Blood Dregs,ZELV96,MDEQ80,1219720.0,USD,4000,02/07/2023,304.93,USD,283.35
01/04/2019 00:10,CEFBKMMC56270728,Frbdays,CMZC67,SEKK56,204450.0,UGX,500,23/02/2024,408.9,USD,649.99
01/04/2019 00:10,LGGLHXEF86978911,Z-crystals,GYWU23,QBAP68,5418900.0,USD,30000,03/11/2023,180.63,USD,195.65
01/04/2019 00:11,XDTSQIDX20164384,Fridays,VLJL44,SEKK36,40890.0,USD,100,05/05/2022,408.9,USD,83.8
01/04/2019 00:11,EQAZNREO26353838,Ribgs of Increase Accuracy,FDWI63,RLZK87,92650.0,JOD,200,28/10/2024,463.25,USD,182.31
01/04/2019 00:11,YTWTYTOM59797425,Stocks,PVAZ63,ZVEN26,35160.0,GNF,300,30/12/2021,117.2,USD,2294.89
01/04/2019 00:11,DYCPETJQ55798102,Gabntlets of Power,PVAZ61,NFAH30,2333920.0,USD,800,18/03/2020,2917.4,USD,602.86
01/04/2019 00:12,GXUTSRAN87844656,Stocks,FAWI55,YFAM59,2068250.0000000002,USD,5000,27/02/2020,413.65000000000003,USD,76.41
01/04/2019 00:12,OVKAXMIZ76130893,Stocks,ZBIO01,VESX21,1016730.0000000001,USD,600,23/01/2024,1694.5500000000002,USD,374.96
01/04/2019 00:12,AFNIBACI22548577,Stbcks,FTFI87,UHOG32,47390.0,USD,700,20/10/2024,7469.48,GNF,63.3
01/04/2019 00:13,EPNRXZRE26702334,Stocks,SHXQ42,UEVD88,1526626.61,MGA,900,12/01/2022,318.27,USD,1785.24
01/04/2019 00:14,IGEEEMXM48694536,Amulets of ESP,VIMV38,PIFN54,95040.0,USD,8000,13/11/2020,1.52,NGN,11.64
01/04/2019 00:14,JSWLXHFZ30358744,Stbcks,FTFI87,EPZN28,6236000.0,USD,20000,02/10/2022,311.8,USD,51.52
01/04/2019 00:14,VGLEYCSQ80751329,Hero Association Catalogs,YOQG46,QBAP68,67030.0,USD,500,20/04/2023,658.96,BSD,150.92
01/04/2019 00:15,UNZTDEMH78027793,Dabnarians,HHFP44,BBAX06,1082000.0,USD,4000,20/11/2022,270.5,USD,45.76
01/04/2019 00:15,SKDBJNUT61931014,Stbcks,NGBA40,FDWI64,8994.999999999998,USD,100,26/11/2021,89.94999999999999,USD,19.32
01/04/2019 00:16,DZVVTCBV87394885,Stbcks,SFEO61,DOGG57,269900.0,USD,2000,29/06/2020,134.95,USD,29.76
01/04/2019 00:16,XVTEQBHW30155679,Stbcks,PKBF70,QWOA67,19311000.0,USD,60000,03/12/2020,321.85,USD,391.35
01/04/2019 00:17,XOYAGZKI67500919,Misty Seeds,INIL62,TQSJ35,5171600.0,USD,40000,26/09/2021,129.29,USD,141.82
01/04/2019 00:17,ALKVIGBX39594030,Full Faces,SUOX82,QLCE44,7594600.0,USD,4000,26/07/2023,1898.65,USD,435.96
01/04/2019 00:17,FVBJTRMF03683733,Stocks,BBAX05,IJPI82,83000.0,USD,500,10/04/2022,166.0,USD,31.72
01/04/2019 00:18,SXRDSAFK95175900,Stocks,ZNQA88,IZLM67,558376.06,DOP,700,17/04/2023,84.1,USD,707.23
01/04/2019 00:18,XGSTNBMJ48478756,Light Curtains,RJCA92,YLGZ72,3617010.0,USD,9000,19/11/2024,401.89,USD,435.04
01/04/2019 00:18,LVYZURHL99678612,Stocks,PKBF72,MFJJ77,1998000.0,STD,6000,31/01/2021,333.0,USD,374.99
01/04/2019 00:19,XWHFTTTR04514969,Stocks,DGTY64,UWUK42,105870.0,USD,300,15/12/2023,352.9,USD,65.08
01/04/2019 00:19,RHDSDEBE89668149,Lucky Cat Paws,JCWS19,SFZS18,10060400.0,FJD,8000,06/02/2023,1257.55,USD,1677.15
01/04/2019 00:20,XMTDCLLA79682451,Stbcks,SBUT62,MDEQ10,15585.0,USD,300,25/09/2024,51.95,USD,49.86
01/04/2019 00:21,KEKRDFNX00652936,Stocks,GYWU21,MRAH32,203240.0,USD,400,10/05/2022,508.1,USD,92.34
01/04/2019 00:21,GPYQGVNT95455741,Stocks,EDYH00,WYFO79,112364.0,USD,700,15/12/2022,160.52,USD,185.0
